squareMeters,numberOfRooms,floors,numPrevOwners,made,hasGuestRoom,price
75523,3,63,8,2005,7,7559081.5
80771,39,98,6,2015,2,8085989.5
55712,58,19,8,2021,9,5574642.1
32316,47,6,4,2012,3,3232561.2
70429,19,90,7,1990,4,7055052
39223,36,17,6,2012,1,3926647.2
58682,10,99,9,1995,5,5876376.5
86929,100,11,4,2003,10,8696869.3
51522,3,61,3,2012,5,5154055.2
39686,42,15,8,2021,3,3970892.1
23563,21,90,8,1993,10,2366397.3
96470,74,21,2,2011,9,9652258.1
19127,31,5,9,2008,4,1914688.8
13087,44,77,4,2004,0,1320803.4
79770,3,69,5,2018,7,7986665.8
75985,60,67,9,2009,5,7607322.9
64169,88,6,9,2011,9,6420823.1
99371,31,16,8,2013,8,9944705.3
25966,37,17,1,2016,6,2604486.6
41792,43,10,5,2017,5,4187667.7
28795,64,50,4,2009,0,2888047.9
92383,12,78,7,2000,1,9244344
33279,64,65,2,2019,1,3333351.9
34782,47,73,4,2020,2,3482594
13386,51,90,6,1993,4,1342509.3
20883,56,54,9,2018,10,2091505.8
95121,46,3,9,1994,10,9515440.4
6071,72,14,6,2003,2,612471.3
11844,43,55,5,1993,10,1189939.3
52078,7,73,4,2016,5,5217708.6
25897,98,92,4,1993,10,2598763.3
85443,40,54,1,2021,2,8555234.1
11412,78,79,5,2009,0,1145642.9
97550,89,98,5,2014,0,9765099.4
76485,47,9,9,2008,1,7653300.8
26169,29,62,7,1993,9,2622399.3
24239,87,91,7,1998,3,2427801.8
36239,8,24,6,1990,5,3627708
10500,88,49,1,2013,5,1057021.3
87060,27,91,10,2000,7,8711426
66683,19,6,2,2001,3,6677649.1
66569,59,56,9,2016,10,6667802.6
84559,29,69,7,2000,8,8460604
28749,39,53,5,1996,3,2877997.6
76091,38,32,8,2016,7,7614076.6
92696,49,38,2,2021,2,9272740.1
46988,66,27,10,1991,4,4707341.1
48062,22,4,10,2008,1,4809993.8
5767,97,11,3,1998,4,586742.8
59800,47,27,9,2021,4,5984462.1
54836,25,53,5,2020,6,5492532
54318,10,52,2,1998,1,5444967.8
70021,52,28,6,1992,1,7005572.2
54368,11,20,7,2021,8,5446398.1
31421,29,68,3,1999,5,3147829.9
63053,6,28,1,1997,8,6315375.7
4187,89,17,6,1994,2,421906.4
33108,82,83,10,2016,2,3316069.6
64393,8,51,1,1990,6,6441378
93876,60,70,1,1999,8,9390891.9
67040,60,22,8,1993,0,6714247.3
47938,17,68,1,2013,8,4797883.3
39090,57,74,9,2010,6,3917691
43609,66,55,9,2005,7,4364910.5
41998,74,17,1,1990,9,4203344
36496,9,47,1,2017,0,3656368.7
84016,15,55,7,2016,2,8410054.6
3087,27,94,10,2005,1,321717.5
89768,48,17,9,1993,7,8980518.3
30226,74,87,9,2007,4,3039243.7
58478,5,35,10,2016,7,5853710.6
66621,48,89,1,1995,4,6666403.5
73314,43,38,1,2018,8,7336538.8
59972,28,18,8,2021,4,6000826.1
71591,20,58,4,1998,0,7165980.8
92462,52,46,6,2019,8,9257840.9
52325,60,24,5,1992,4,5238533.2
67311,67,10,3,1990,5,6732249
45050,99,87,8,2013,3,4508695.3
61534,73,97,5,2001,6,6159875.1
84091,50,72,5,1993,8,8414104.3
77579,69,97,1,1999,8,7767797.9
25204,31,37,10,2020,6,2530488
42059,46,62,3,2017,3,4212125.7
38430,43,51,4,2021,8,3846214.1
7069,4,89,2,2009,3,709107.9
34780,75,9,5,2019,4,3480536.9
12757,100,7,8,2020,5,1277834
33749,74,38,7,1999,2,3380855.9
600,37,43,7,2011,1,63402.1
7239,61,83,7,1994,4,733776.4
34919,20,84,1,1997,2,3499532.7
25614,29,27,1,1994,9,2563970.4
51434,64,23,2,2012,7,5146226.2
78960,55,76,4,2015,0,7900996.5
70751,64,41,9,2006,7,7084110.6
81870,60,100,8,2020,3,8198185
91559,36,21,2,2007,8,9161130.7
72098,9,67,3,2014,9,7216904.4
23177,19,52,1,2003,6,2318776.3
39517,92,85,6,2019,9,3953491.9
55232,23,8,3,1991,6,5524015.1
53735,49,92,7,2006,8,5384554.6
67753,72,78,9,1995,6,6789580.5
1450,59,1,9,2018,10,146181.8
82141,93,61,7,2019,4,8225970.9
17868,73,35,9,2013,2,1792308.3
71397,71,93,10,1995,2,7145471.5
32623,35,14,6,2003,8,3267852.3
23841,71,25,7,2010,1,2390804
16495,94,6,10,1991,7,1650711.1
39109,24,67,3,2002,9,3917652.2
65151,81,3,9,1991,4,6522781.1
61484,91,94,8,2013,3,6154833.3
57160,15,43,8,2002,2,5724102.2
13346,57,57,8,2021,8,1336414.1
27351,77,36,1,1997,0,2738851.7
18466,50,60,2,2020,5,1849227
45441,29,66,5,2004,6,4552319.4
55933,15,97,8,2001,6,5599976.1
81936,68,92,1,2011,0,8198107.1
18237,70,74,6,2011,9,1833338.1
35631,54,7,6,2018,10,3568002.8
99683,12,77,8,2002,6,9977000.2
47664,44,77,3,2010,6,4770073
62887,45,7,3,1993,4,6293710.3
18470,20,73,1,2000,6,1852115
36031,63,47,8,2001,4,3612495.1
22776,84,5,9,1993,7,2278599.3
14830,81,1,10,1992,9,1487488.2
43944,40,69,5,2012,6,4403326.2
73062,34,38,8,2016,0,7313447.6
84284,76,39,1,1998,6,8432554.8
9619,66,91,5,1991,10,969806.1
11410,96,96,3,2019,1,1150663.9
29855,63,23,5,2000,6,2987645
46716,94,58,5,2008,3,4674140.8
77046,69,85,2,1992,3,7714235.2
58855,1,66,7,2004,3,5892518.4
69165,66,74,4,2009,9,6926290.9
57915,25,84,4,2007,5,5800324.7
66279,47,9,2,2003,10,6631365.3
16068,21,13,8,1991,2,1611707.1
74325,50,58,10,1994,5,7443433.4
35742,46,47,1,2014,7,3581003.4
9026,51,28,5,2000,10,904797
16899,19,14,4,2020,7,1693690
99854,82,64,8,2009,7,9989598.9
33743,56,29,8,2006,6,3382812.6
72798,22,30,3,2007,7,7290431.7
86492,21,86,7,1992,0,8654049.2
38937,35,77,6,2013,1,3901433.3
24762,22,62,10,1999,1,2480900.9
91047,45,65,2,1999,1,9109264.9
55527,64,44,2,2005,9,5557814.5
70606,17,79,3,2017,5,7070662.7
67327,47,87,3,1990,10,6741466
6125,90,29,2,2012,10,615143.2
71833,37,51,5,2013,6,7185318.3
20811,98,71,4,1995,3,2090690.5
7643,98,63,3,1999,7,765618.9
16669,95,81,3,2007,1,1676719.7
84006,73,97,7,2000,4,8409827
34059,49,90,8,1993,2,3412619.3
36131,95,88,8,1991,8,3620939.1
8201,18,66,2,2007,6,826967.7
38398,84,22,8,1994,8,3842545.4
38833,10,14,3,2014,8,3884619.4
41488,22,59,1,2013,3,4151539.3
5205,2,15,3,2005,0,521650.5
45066,28,62,5,2013,0,4508367.3
